facility_name,un_locode,CGA_id,my_id,national_program,national_program_iso,lat_dd,lon_dd,altitude_m,longest_runway,landing_gear,first_opened,facilty_type,current_status,winter_population,peak_population,CGA_name_other
Belgrano II,AQ-BEL,5217,1,Argentina,ARG,-77.8744444,-34.6269444,250,,,1955,Station,Year-round,12,12,General Belgrano (RUS); Belgrano II Station (USA)
Brown,,1920,2,Argentina,ARG,-64.89536982,-62.87045109,10,,,1951,Station,Seasonal,,18,Brown (RUS)
C‡mara,,14514,3,Argentina,ARG,-62.59385833,-59.91934444,22,,,1953,Station,Seasonal,,36,Teniente Camara (RUS)
Decepc’on,,3455,4,Argentina,ARG,-62.97676018,-60.70069463,7,,,1948,Station,Seasonal,,65,Decepcion (RUS)
Esperanza,AQ-ESP,4341,5,Argentina,ARG,-63.39695938,-56.99805434,25,,,1952,Station,Year-round,55,90,Esperanza (RUS); Esperanza Station (USA)
Carlini (formally known as Jubany),AQ-JUB,14515,6,Argentina,ARG,-62.2379,-58.66684167,10,,,1982,Station,Year-round,20,100,Teniente Jubany (RUS); Jubany Station (USA)
Marambio,AQ-MRB,18363,7,Argentina,ARG,-64.24176895,-56.62322459,200,1200 m,Wheel,1969,Station,Year-round,55,150,Marambio Station (USA)
Matienzo,,14517,8,Argentina,ARG,-64.97586484,-60.07094839,32,,,1961,Station,Seasonal,,15,Teniente Matienzo (RUS)
Melchior,,9401,9,Argentina,ARG,-64.3257045,-62.97632863,2,,,1947,Station,Seasonal,,36,Melchior (RUS)
Orcadas,AQ-ORC,10659,10,Argentina,ARG,-60.7375919,-44.73738674,4,,,1904,Station,Year-round,14,45,Orcadas (RUS); Orcadas Station (USA)
Petrel,,11184,11,Argentina,ARG,-63.47830316,-56.23099341,18,,,1967,Station,Seasonal,,55,Petrel (RUS)
Primavera,,11601,12,Argentina,ARG,-64.1558536,-60.95425641,50,,,1977,Station,Seasonal,,18,Primavera (RUS)
San Mart’n,AQ-SMT,12673,13,Argentina,ARG,-68.13030011,-67.10293129,5,,,1951,Station,Year-round,20,20,San Mart’n (RUS); San Martin Station (USA)
Edgeworth David,,2046,14,Australia,AUS,-66.24993451,100.6042134,15,,,,Camp,Seasonal,,,Edgeworth David Base (AUS)
Wilkins Aerodrome,,18111,15,Australia,AUS,-66.68966697,111.4845668,740,4000 m,Ski & Wheel,,Camp,Seasonal,,,Wilkins Runway (AUS)
Casey,AQ-CAS,2382,16,Australia,AUS,-66.28234266,110.5267924,30,variable,Ski,1969,Station,Year-round,20,70,Casey (AUS); Casey Station (USA)
Davis,AQ-DAV,3394,17,Australia,AUS,-68.57593768,77.96951603,15,variable,Ski,1957,Station,Year-round,22,70,Davis (AUS); Davis Station (USA)
Mawson,AQ-MAW,9186,18,Australia,AUS,-67.60264444,62.87302778,5,variable,Ski,1954,Station,Year-round,20,60,Mawson (AUS); Mawson Station (USA)
Beaver Lake,,,19,Australia,AUS,-70.783333,68.3,121,,,,Camp,Seasonal,,,
Law - Racovita - Negoita,AQ-LAW,18360,20,Australia & Romania,AUS/ROU,-69.3882965,76.38069645,65,,,1987,Station,Seasonal,,13,Law - Racovita Station (USA)
Princess Elisabeth,,,21,Belgium,BEL,-71.9498578,23.34689116,1317,,,2009,Station,Seasonal,,20,
Comandante Ferraz,AQ-CFZ,18349,22,Brazil,BRA,-62.08462076,-58.39256957,8,,,1984,Station,Year-round,12,40,Comandante Ferraz Station (USA)
Ohridski,,14185,23,Bulgaria,BGR,-62.64072307,-60.36523384,10,,,1988,Station,Seasonal,,18,St. Kliment Ohridski Base (BGR); Ohridiski Station (USA)
Lieutenant Arturo Parodi,,18346,24,Chile,CHL,-80.31193304,-81.36657271,880,2500 m,Ski & Wheel,1999,Station,Seasonal,,25,Arturo Parodi Station (USA)
Lieutenant Rodolfo Marsh M. Aerodrome,AQ-TNM,,25,Chile,CHL,-62.19373488,-58.9799737,45,1300 m,Wheel,1969,Camp,Year-round,8,15,
Arturo Prat,AQ-APT,2299,26,Chile,CHL,-62.47933555,-59.66351347,10,,,1947,Station,Year-round,9,15,Capitan Arturo Prat (RUS); Arturo Prat Station (USA)
Lieutenant Luis Carvajal Villarroel,,,27,Chile,CHL,-67.76132249,-68.91481561,2,,,1985,Station,Seasonal,,30,
Julio Escudero,AQ-ESC,18356,28,Chile,CHL,-62.20137307,-58.96267648,10,,,1994,Station,Year-round,2,26,Escudero Station (USA)
Eduardo Frei Montalva,,11571,29,Chile,CHL,-62.20023174,-58.96262712,10,,,1969,Station,Year-round,70,120,Presidente Frei (RUS); Frei Station (USA)
Bernardo O'Higgins Riquelme,AQ-OHG,5218,30,Chile,CHL,-63.32095118,-57.89978113,12,800 m,Ski,1948,Station,Year-round,16,44,General Bernardo O'Higgins (RUS); O'Higgins Station (USA)
Ripamonti,,,31,Chile,CHL,-62.21015169,-58.93474027,50,,,,Station,Seasonal,,,
Risopatr—n,,,32,Chile,CHL,-62.37853344,-59.70072429,40,,,1957,Station,Seasonal,,8,
President Gabriel Gonzalez Videla,,11572,33,Chile,CHL,-64.82386172,-62.85749916,4,,,1951,Station,Seasonal,,9,Presidente Gabriel Gonz‡les Videla (RUS) 
Guillermo Mann,,,34,Chile,CHL,-62.467221,-60.767584,2,,,1991,Station,Seasonal,,6,
Sub Base Yelcho,,16363,35,Chile,CHL,-64.87585799,-63.58380638,10,,,1962,Station,Seasonal,,,Yelcho (RUS)
Great Wall,AQ-GWL,18357,36,China,CHN,-62.21638889,-58.9644444,10,,,1985,Station,Year-round,14,40,Great Wall Station (USA)
Kunlun,,,37,China,CHN,-80.41694444,77.1161111,4087,,,2009,Station,Seasonal,,20,
Taishan,,,38,China,CHN,-73.86388333,76.97471666,2620,,,2014,Camp,Seasonal,,5,
Zhongshan,AQ-ZGN,18370,39,China,CHN,-69.37333333,76.37777778,10,,,1989,Station,Year-round,15,30,Zhongshan Station (USA)
Johann Gregor Mendel,,,40,Czech Republic,CZE,-63.80062531,-57.8825918,10,,,2006,Station,Seasonal,,20,
